county_fips,year,program_id,R_t_m,cost_per_acre
29205,2022,P1,1.0,20.0
29205,2022,P2,1.0,24.0
29205,2022,P3,1.0,26.0
29205,2022,P4,1.0,28.0
29205,2022,P5,1.0,36.0
29205,2022,P6,1.0,30.0
29205,2022,P7,1.0,33.0
29205,2022,P_DUAL15,1.0,25.0
29205,2022,P_FLEX,1.0,30.0
29205,2022,P_CALLISTO,1.0,28.0
29205,2022,P_GLYPHO,1.0,12.0
29205,2022,P_GLUFI,1.0,18.0
29205,2022,P_AUX,1.0,35.0
29205,2023,P1,1.0,20.0
29205,2023,P2,1.0,24.0
29205,2023,P3,1.0,26.0
29205,2023,P4,1.0,28.0
29205,2023,P5,1.0,36.0
29205,2023,P6,1.0,30.0
29205,2023,P7,1.0,33.0
29205,2023,P_DUAL15,1.0,25.0
29205,2023,P_FLEX,1.0,30.0
29205,2023,P_CALLISTO,1.0,28.0
29205,2023,P_GLYPHO,1.0,12.0
29205,2023,P_GLUFI,1.0,18.0
29205,2023,P_AUX,1.0,35.0
29205,2024,P1,1.0,20.0
29205,2024,P2,1.0,24.0
29205,2024,P3,1.0,26.0
29205,2024,P4,1.0,28.0
29205,2024,P5,1.0,36.0
29205,2024,P6,1.0,30.0
29205,2024,P7,1.0,33.0
29205,2024,P_DUAL15,1.0,25.0
29205,2024,P_FLEX,1.0,30.0
29205,2024,P_CALLISTO,1.0,28.0
29205,2024,P_GLYPHO,1.0,12.0
29205,2024,P_GLUFI,1.0,18.0
29205,2024,P_AUX,1.0,35.0
29205,2025,P1,1.0,20.0
29205,2025,P2,1.0,24.0
29205,2025,P3,1.0,26.0
29205,2025,P4,1.0,28.0
29205,2025,P5,1.0,36.0
29205,2025,P6,1.0,30.0
29205,2025,P7,1.0,33.0
29205,2025,P_DUAL15,1.0,25.0
29205,2025,P_FLEX,1.0,30.0
29205,2025,P_CALLISTO,1.0,28.0
29205,2025,P_GLYPHO,1.0,12.0
29205,2025,P_GLUFI,1.0,18.0
29205,2025,P_AUX,1.0,35.0
29205,2026,P1,1.0,20.0
29205,2026,P2,1.0,24.0
29205,2026,P3,1.0,26.0
29205,2026,P4,1.0,28.0
29205,2026,P5,1.0,36.0
29205,2026,P6,1.0,30.0
29205,2026,P7,1.0,33.0
29205,2026,P_DUAL15,1.0,25.0
29205,2026,P_FLEX,1.0,30.0
29205,2026,P_CALLISTO,1.0,28.0
29205,2026,P_GLYPHO,1.0,12.0
29205,2026,P_GLUFI,1.0,18.0
29205,2026,P_AUX,1.0,35.0
29205,2027,P1,1.0,20.0
29205,2027,P2,1.0,24.0
29205,2027,P3,1.0,26.0
29205,2027,P4,1.0,28.0
29205,2027,P5,1.0,36.0
29205,2027,P6,1.0,30.0
29205,2027,P7,1.0,33.0
29205,2027,P_DUAL15,1.0,25.0
29205,2027,P_FLEX,1.0,30.0
29205,2027,P_CALLISTO,1.0,28.0
29205,2027,P_GLYPHO,1.0,12.0
29205,2027,P_GLUFI,1.0,18.0
29205,2027,P_AUX,1.0,35.0
